year,dirty_energy_consumption,clean_energy_consumption,total_energy_consumption,total_co2_emission
1990,,,31.746,2024326.1
1991,,,13.903,1914301
1992,,,9.168,1482054
1993,,,9.105,1486943
1994,,,8.816,1453829
1995,,,7.429,1417327
1996,,,7.286,1370104
1997,,,6.938,1304152
1998,,,6.752,1278504
1999,,,6.749,1091640
2000,,,5.914,1047127.94
2001,,,4.664,1069098
2002,,,4.428,1340995
2003,,,5.208,1559602
2004,,,4.81,1237247
2005,,,6.153,1889507
2006,,,7.745,2159318
2007,,,10.039,2799909
2008,,,17.152,4254477
2009,,,27.944,6391888
2010,,,34.74,8364803.5
2011,,,47.199,11838316
2012,,,43.26,10035314
2013,,,36.489,9250510
2014,,,33.502,9170309
2015,,,37.012,9791093
2016,,,34.458,9067598
2017,,,36.617,9867969
2018,,,41.989,10818048
2019,,,35.974,11081621
1990,,,33.658,659297200
1991,,,28.23,688953700
1992,,,24.674,668606100
1993,,,21.638,708741060
1994,,,20.567,719465300
1995,,,22.728,771882300
1996,,,25.011,783331900
1997,,,22.844,812606300
1998,,,24.572,837844000
1999,,,22.114,830411140
2000,,,28.732,886403400
2001,,,27.233,883999940
2002,,,29.497,892558700
2003,,,33.27,967169860
2004,,,35.487,1036636900
2005,,,35.014,1057360960
2006,,,32.967,1090145000
2007,,,28.377,1132287500
2008,,,30.991,1181174800
2009,,,33.773,1171780000
2010,,,36.061,1214749200
2011,,,31.486,1251306000
2012,,,30.81,1259536900
2013,,,38.665,1268892300
2014,,,34.06,1350089200
2015,,,34.083,1323759000
2016,,,37.984,1363459100
2017,,,36.737,1379490000
2018,,,41.67,1366411000
2019,,,32.457,1467491800
1990,12327.519,15.644,314.974,659289860
1991,11908.999,33.152,312.095,688946400
1992,11949.858,21.999,320.227,668598700
1993,10855.729,38.159,297.995,708730050
1994,10789.64,17.57,301.921,719454300
1995,10975.977,20.04,313.145,771871360
1996,10678.949,13.773,309.925,783320900
1997,10097.629,7.524,297.86,812595260
1998,10282.93,21.245,308.349,837832960
1999,10242.966,19.781,311.434,830400100
2000,9741.336,5.189,299.946,886392400
2001,9955.143,6.497,310.813,883988900
2002,10175.09,5.261,321.951,892547700
2003,10486.486,23.975,336.922,967158850
2004,10736.774,22.248,349.778,1036626000
2005,11065.476,48.247,366.272,1057350000
2006,11323.462,18.518,379.22,1090134100
2007,11740.896,18.804,399.64,1132276500
2008,12229.293,23.004,423.557,1181163800
2009,12725.983,27.137,448.859,1171769000
2010,12229.061,14.096,438.995,1214738200
2011,12680.638,29.903,464.488,1251295000
2012,13594.317,30.592,507.672,1259525900
2013,14121.583,9.152,536.977,1268881400
2014,15090.883,17.753,585.613,1350078200
2015,15601.193,15.119,617.518,1323748100
2016,15272.842,22.301,616.996,1363444500
2017,15126.544,37.458,623.795,1379479000
2018,15966.561,46.065,671.361,1366400100
2019,16223.641,47.96,694.885,1467477100
1990,,,2.406,
1991,,,2.406,
1992,,,2.475,
1993,,,2.408,
1994,,,2.346,
1995,,,2.283,
1996,,,2.289,
1997,,,2.346,
1998,,,2.346,
1999,,,2.346,
2000,,,2.297,
2001,,,2.297,
2002,,,2.335,
2003,,,2.335,
2004,,,2.335,
2005,,,2.48,
2006,,,2.522,
2007,,,2.522,
2008,,,2.529,
2009,,,2.522,
2010,,,2.522,
2011,,,1.439,
2012,,,1.443,
2013,,,1.439,
2014,,,1.439,
2015,,,1.439,
2016,,,1.443,
2017,,,1.439,
2018,,,1.439,
2019,,,1.439,
1990,,,23.331,5520602
1991,,,24.454,4290226
1992,,,24.814,2517116
1993,,,24.361,2337999
1994,,,23.769,1923806
1995,,,25.496,2089065.1
1996,,,24.504,2017508
1997,,,27.524,1543009
1998,,,24.773,1754709
1999,,,27.651,2986196
2000,,,32.448,3024926
2001,,,35.234,3220656
2002,,,37.546,3748272
2003,,,41.666,4303499
2004,,,46.077,4176684
2005,,,39.23,4261413
2006,,,49.463,3910715
2007,,,56.855,3948970
2008,,,66.637,4397043
2009,,,75.825,4406552
2010,,,83.179,4783865
2011,,,87.199,5314676
2012,,,91.069,4850060
2013,,,101.919,5287466
2014,,,112.177,5999658
2015,,,116.999,4712137
2016,,,106.752,4631977
2017,,,101.83,5564149
2018,,,98.985,4984045
2019,,,109.148,4947485
1990,,,0.872,76737624
1991,,,0.872,78806830
1992,,,0.875,79883310
1993,,,0.872,81943970
1994,,,0.872,86147480
1995,,,0.935,94981416
1996,,,0.937,96786280
1997,,,0.935,87004700
1998,,,0.935,106621010
1999,,,0.935,91668216
2000,,,0.93,82221010
2001,,,0.955,83780210
2002,,,0.955,89406936
2003,,,0.955,91048400
2004,,,0.968,87853350
2005,,,0.974,106472840
2006,,,0.974,100202856
2007,,,0.986,108401944
2008,,,0.049,109031976
2009,,,0.067,120184856
2010,,,0.067,117813010
2011,,,0.067,119807544
2012,,,0.058,135674300
2013,,,0.057,140786380
2014,,,0.057,151282770
2015,,,0.058,160087460
2016,,,0.058,158748370
2017,,,0.055,166411380
2018,,,0.055,173911580
2019,,,0.055,179504830
1990,,,1.749,
1991,,,1.743,
1992,,,1.748,
1993,,,1.743,
1994,,,1.866,
1995,,,1.989,
1996,,,1.995,
1997,,,2.05,
1998,,,2.05,
1999,,,2.05,
2000,,,2.136,
2001,,,2.136,
2002,,,2.29,
2003,,,2.407,
2004,,,2.497,
2005,,,2.535,
2006,,,2.613,
2007,,,2.738,
2008,,,2.801,
2009,,,2.935,
2010,,,2.837,
2011,,,2.829,
2012,,,2.908,
2013,,,2.908,
2014,,,2.973,
2015,,,3.043,
2016,,,3.089,
2017,,,2.937,
2018,,,3.035,
2019,,,3.048,
1990,13467.452,2250.843,513.008,406704
1991,13652.279,2094.837,521.32,406704
1992,14362.297,2299.145,559.296,406704
1993,14260.223,2720.756,577.816,410368
1994,14624.456,3026.191,608.748,406704
1995,15149.672,2827.236,628.223,425024
1996,16071.152,2496.624,657.102,454336
1997,15606.603,2953.324,664.742,465328
1998,16234.263,2765.213,688.412,490976
1999,16684.738,2301.931,695.919,512960.03
2000,16060.568,2788.158,698.737,523952
2001,14775.743,3432.95,682.471,523952
2002,14036.607,3237.236,654.42,531280
2003,15134.122,3190.304,701.425,534944
2004,16351.621,2909.835,744.817,560592
2005,17164.092,3071.147,790.601,575248
2006,17675.689,3363.713,830.569,545936
2007,18939.355,2797.524,866.782,538608
2008,19031.121,2770.514,878.034,538608
2009,17968.439,3011.145,853.541,516623.97
2010,18552.355,2977.965,884.899,516623.97
2011,19099.428,2801.712,909.351,490976
2012,19821.711,2702.708,944.953,487312
2013,20265.033,2921.958,982.856,476320
2014,20020.451,2860.557,979.858,461664
2015,20104.195,2933.299,996.534,465328
2016,19913.398,2796.277,991.691,468992
2017,19667.014,2818.369,990.585,465328
2018,19227.025,2916.685,983.482,494640
2019,17843.926,2958.32,930.807,479984
1992,,,57.757,5089864
1993,,,43.957,5064054
1994,,,39.296,5164449
1995,,,38.545,5748389
1996,,,49.341,3864521
1997,,,41.582,10948907
1998,,,44.191,10423993
1999,,,27.312,7347664
2000,,,29.374,7268420
2001,,,28.887,9130235
2002,,,27.671,9516064
2003,,,30.428,9670938
2004,,,31.559,12598124
2005,,,36.559,8988970
2006,,,36.503,18700614
2007,,,40.962,19005990
2008,,,39.531,22101650
2009,,,35.321,24977270
2010,,,39.338,25486268
2011,,,41.415,27564974
2012,,,43.885,28864504
2013,,,43.054,30329742
2014,,,43.884,25539988
2015,,,40.663,24718594
2016,,,40.95,25147586
2017,,,43.641,25530950
2018,,,42.928,27209698
2019,,,45.958,24304090
1990,,,2.292,22779500
1991,,,2.5,21818020
1992,,,2.746,51296
1993,,,2.79,51296
1994,,,3.062,54960
1995,,,3.465,65952
1996,,,2.284,65952
1997,,,3.693,65952
1998,,,3.693,69616
1999,,,3.693,69616
2000,,,4.417,76944
2001,,,4.571,80608
2002,,,4.725,87936
2003,,,5.261,95264
2004,,,5.487,95264
2005,,,5.925,102592
2006,,,5.914,120912
2007,,,6.094,128240.01
2008,,,5.725,142896
2009,,,5.708,150224
2010,,,5.358,150224
2011,,,4.262,146560
2012,,,5.343,150224
2013,,,5.172,142896
2014,,,5.253,142896
2015,,,5.401,117248
2016,,,5.246,139232
2017,,,5.432,153888
2018,,,5.248,153888
2019,,,5.441,142896
1990,57894.836,2702.262,1033.059,142896
1991,56551.473,2813.958,1025.306,153888
1992,56857.543,2823.96,1042.188,10992
1993,57478.57,2872.36,1064.078,14656
1994,59274.898,2810.729,1105.466,14656
1995,61398.641,2718.385,1154.299,14656
1996,62475.82,2763.942,1188.137,14656
1997,63378.875,2741.233,1217.288,3664
1998,64295.676,2705.337,1246.331,3664
1999,66238.219,2766.347,1297.347,3664
2000,65895.281,2737.685,1305.26,3664
2001,65693.062,2645.212,1315.385,3664
2002,66184.305,2708.486,1341.745,3664
2003,66309.148,2773.653,1360.862,3664
2004,67641.094,2845.223,1404.444,3664
2005,66901.25,3015.914,1410.35,3664
2006,68821.477,3042.29,1470.838,7328
2007,69429.336,2875.357,1506.167,7328
2008,69435.5,2653.844,1531.745,7328
2009,66957.82,2732.027,1509.545,10992
2010,65568.57,2955.301,1508.839,219840
2011,65619.617,3965.651,1555.72,212512
2012,63596.312,3844.253,1532.875,208848
2013,62782.598,4383.149,1552.321,216176
2014,62614.078,3982.348,1562.99,216176
2015,62927.484,4223.832,1599.561,223504
2016,61601.598,4771.693,1605.949,238160
2017,60684.391,4392.792,1600.27,256480.02
2018,59516.434,5387.027,1621.238,271136
2019,60330.438,5879.961,1678.908,282128
1990,31030.533,12618.306,335.168,293120
1991,32820.129,12503.519,351.514,296784
1992,30429.379,13695.004,345.971,329760
1993,30249.984,14292.989,352.125,351744
1994,30300.043,13802.449,349.969,366400
1995,31628.078,14555.035,367.031,373728
1996,32810.492,13369.734,367.504,384720
1997,32988.867,14113.504,375.269,406704
1998,33252.102,14552.546,381.283,417696
1999,33054.211,15740.055,389.934,443344
2000,32761.496,16102.9,391.425,454336
2001,34883.27,15538.107,405.369,443344
2002,35014.863,15239.779,406.007,458000
2003,37821.41,12701.796,410.254,461664
2004,37007.59,14131.729,417.87,461664
2005,37235.941,14443.221,425.166,479984
2006,36338.641,14549.552,420.732,490976
2007,34265.953,15380.897,411.807,490976
2008,34636.168,15813.775,419.801,498304
2009,32022.234,16734.557,406.775,498304
2010,34355.195,15875.842,420.074,112079090
2011,32475.955,14400.96,393.354,117505740
2012,31476.033,17651.035,414.124,121230584
2013,31399.047,17106.18,411.302,117777490
2014,29272.203,16927.83,394.829,122229000
2015,29745.951,15991.775,395.285,127764860
2016,30089.332,16670.883,408.52,134762060
2017,31092.332,16378.961,417.629,137641470
2018,30184.438,15947.219,407.828,139451890
2019,31050.213,17172.926,428.219,147285120
1990,34417.613,660.042,260.551,142358350
1991,32520.611,690.11,250.351,134003940
1992,27373.764,675.98,214.394,124392350
1993,23101.287,926.816,185.98,134631000
1994,21152.613,691.814,170.865,157043400
1995,19779.477,583.202,160.648,161434200
1996,16001.271,571.749,131.741,174609000
1997,15136.405,632.79,126.155,174245760
1998,15032.282,717.45,126.645,188106000
1999,15015.021,549.683,126.097,178949200
2000,15517.663,553.826,131.631,186733140
2001,14861.287,461.489,126.904,190273780
2002,14277.606,704.247,125.43,191292110
2003,15191.939,846.493,135.723,189537740
2004,17058.918,927.863,153.898,188396530
2005,18278.164,995.485,166.837,191743840
2006,17907.168,817.578,164.092,189920430
2007,15967.037,752.894,148.446,186898880
2008,15956.806,696.918,149.878,180599330
2009,13817.756,707.546,132.465,178511620
2010,13129.643,1035.689,130.848,8944920
2011,14743.447,788.716,145.366,7271964
2012,15246.176,526.385,149.612,5862939
2013,15551.718,444.814,153.798,2575039
2014,15691.029,391.384,156.673,2713342
2015,16890.912,479.008,171.328,3433180
2016,16444.629,569.269,169.735,2595440
2017,16025.555,504.123,166.48,3269238
2018,16354.722,518.02,171.301,3397212
2019,17182.447,472.188,180.656,3049535
1990,,,12.012,3491407
1991,,,10.654,3532701
1992,,,9.014,3076793
1993,,,9.518,3455560
1994,,,10.574,3691197
1995,,,12.637,4376169
1996,,,14.246,4401590
1997,,,13.885,5100210
1998,,,15.769,5574790
1999,,,13.869,4363332
2000,,,16.463,4252750
2001,,,16.778,4968878
2002,,,17.402,5748252
2003,,,12.155,5535004
2004,,,13.473,5604113
2005,,,12.954,5469323
2006,,,15.046,5203013
2007,,,17.327,5540153
2008,,,16.932,5825786
2009,,,12.729,6284110
2010,,,13.263,487312
2011,,,11.71,531280
2012,,,13.534,538608
2013,,,12.591,648528
2014,,,12.364,659520
2015,,,11.819,707152
2016,,,12.373,725472
2017,,,14.755,758448
2018,,,16.031,806080
2019,,,16.035,809744
1990,,,75.094,2377936
1991,,,84.05,2407248
1992,,,70.512,2436560
1993,,,84.209,2561136
1994,,,82.967,2616096
1995,,,83.113,2718688
1996,,,83.316,2715024
1997,,,98.161,2821280
1998,,,103.041,2656400
1999,,,105.72,2627088
2000,,,111.877,2506176
2001,,,115.79,2498848
2002,,,123.547,1348352
2003,,,129.081,861040
2004,,,133.713,872032
2005,,,150.004,897680
2006,,,160.051,883024
2007,,,164.328,890352
2008,,,172.084,872032
2009,,,170.377,912336
2010,,,172.24,6611224600
2011,,,170.422,7414699000
2012,,,183.073,7256959500
2013,,,203.595,7589249500
2014,,,201.826,7920648000
2015,,,203.608,8241792000
2016,,,203.156,8573007400
2017,,,209.011,8687990000
2018,,,211.639,8419528700
2019,,,238.286,8880381000
1990,664.9,24.396,73.856,9300388000
1991,629.576,22.683,71.255,9465591000
1992,677.23,21.153,77.711,10011790000
1993,737.426,15.851,85.436,10993457000
1994,762.752,21.663,90.69,11682397000
1995,899.954,9.338,107.109,12525343000
1996,917.752,18.229,112.202,13367103000
1997,948.586,17.421,117.891,14076976000
1998,989.151,20.569,125.559,14820116000
1999,982.386,19.433,126.985,15368629000
2000,1036.478,17.143,136.121,16536730000
2001,1159.468,22.155,155.585,17752203000
2002,1180.298,16.3,160.511,18466894000
2003,1230.329,15.932,170.119,18720993000
2004,1252.259,15.591,175.965,19068563000
2005,1331.353,15.289,189.759,19206867000
2006,1426.363,15.082,205.592,19303905000
2007,1444.987,14.902,210.422,19839646000
2008,1512.384,18.707,222.653,20437713000
2009,1659.185,8.535,244.666,20894499000
2010,1673.779,14.603,250.541,5768071000
2011,1795.337,17.244,272.27,6006437400
2012,1900.566,15.823,291.465,6238993000
2013,1934.396,15.374,300.323,6486570000
2014,1991.316,12.951,312.588,6776300500
2015,2284.473,18.851,363.534,7140051500
2016,2294.868,18.649,369.664,7454534000
2017,2353.072,21.242,384.15,7588901400
2018,2467.254,18.572,406.89,7277011500
2019,2715.925,18.461,452.585,7644816000
1990,,,5.502,7939630600
1991,,,5.563,8085398000
1992,,,5.876,8613880000
1993,,,5.727,9504542000
1994,,,5.431,10062971000
1995,,,5.637,10841543000
1996,,,5.061,11565791000
1997,,,6.093,12280654000
1998,,,6.189,12882225000
1999,,,6.479,13342880000
2000,,,6.965,14411795000
2001,,,6.97,15572503000
2002,,,7.016,16129149000
2003,,,7.091,16429336000
2004,,,7.144,16662785000
2005,,,7.199,16690501000
2006,,,7.216,16780690000
2007,,,6.884,17204828000
2008,,,8.118,17819187000
2009,,,7.651,18275269000
2010,,,7.373,3548373200
2011,,,7.738,4193237500
2012,,,7.273,3870724400
2013,,,7.386,3990298600
2014,,,6.423,4104377300
2015,,,6.833,4122433800
2016,,,6.989,4244572700
2017,,,6.602,4318886000
2018,,,7.031,4182121200
2019,,,7.043,4376588000
1990,44676.812,5.671,465.973,4677820000
1991,44451.129,5.09,464.906,4750128000
1992,38479.266,4.799,403.156,4877156400
1993,32160.344,5.361,337.112,5107286000
1994,26897.057,5.363,281.814,5334124500
1995,23958.543,5.653,250.706,5463860700
1996,24633.928,4.533,257.138,5619656000
1997,25001.521,5.97,260.101,5741412000
1998,24549.229,7.994,254.351,5861766000
1999,23996.287,5.45,247.417,5870681000
2000,24860.398,7.784,255.06,6243581400
2001,24298.285,8.64,247.96,6445176300
2002,25301.59,8.352,256.526,6725019600
2003,25283.945,8.067,254.586,6727270000
2004,28499.082,9.801,285.081,6882599400
2005,28589.797,10.664,284.15,7069196300
2006,30587.021,11.019,302.146,7155110400
2007,29984.502,14.909,294.774,7393669600
2008,30482.754,22.246,298.66,7483390000
2009,28900.855,32.796,282.563,7527042000
2010,31389.23,40.675,306.248,278154140
2011,30903.949,44.314,300.733,279528500
2012,33469.102,53.346,325.298,284525380
2013,30326.1,68.182,294.823,288870560
2014,30333.637,62.906,294.944,293696580
2015,27428.779,75.074,267.03,305002980
2016,27985.99,97.365,272.842,311886140
2017,28404.711,197.145,277.869,320282620
2018,31491.641,183.516,307.253,334076000
2019,31680.496,225.944,308.826,343488640
1990,50044.438,12343.086,621.353,349635500
1991,52027.84,12343.358,642.88,357132350
1992,51546.68,12498.864,641.509,361540800
1993,50843.379,12000.046,631.183,369279520
1994,54304.809,11629.845,663.908,382820900
1995,54750.828,11827.303,672.12,386153540
1996,58201.008,12318.133,713.881,392384320
1997,57601.645,13424.518,721.262,399624830
1998,59092.246,13085.55,735.386,404233060
1999,57551.996,13860.864,730.141,407065000
2000,58793.934,13626.473,743.348,405103330
2001,58480.18,12995.319,736.859,403828770
2002,57679.59,13149.392,733.474,406150900
2003,60190.098,13031.47,761.691,397887460
2004,60170.812,12955.425,764.62,393952900
2005,58836.945,13058.014,756.118,401793060
2006,58746.125,12901.16,758.241,411264300
2007,58365.289,13297.062,763.469,414358300
2008,59586.902,12731.016,775.734,416283800
2009,53755.441,13409.555,725.473,416356600
2010,57141.086,13942.212,773.24,62145250
2011,51635.449,14323.28,722.627,65743936
2012,50019.445,12789.345,692.853,60243908
2013,50629.234,13496.139,712.001,60670572
2014,47794.758,11422.45,661.855,61045756
2015,49676.066,9970.138,670.919,64023070
2016,49981.285,13943.527,723.427,67367016
2017,50345.516,13912.952,731.55,67263590
2018,52367.23,11043.68,725.966,66898316
2019,50350.594,14745.648,749.295,65651040
1990,,,1.433,66149780
1991,,,1.624,70149500
1992,,,1.361,71953620
1993,,,1.358,77460984
1994,,,1.295,77678290
1995,,,1.602,79078110
1996,,,1.431,76806460
1997,,,2.21,74106780
1998,,,2.173,73481910
1999,,,2.261,67298660
2000,,,2.413,72006410
2001,,,2.657,69893110
2002,,,2.571,67265900
2003,,,2.522,67759450
2004,,,2.43,64160004
2005,,,2.602,66348824
2006,,,2.993,67210744
2007,,,2.824,69592824
2008,,,2.731,66557184
2009,,,2.847,67936184
2010,,,3.38,51325840
2011,,,2.948,49957050
2012,,,3.063,56174400
2013,,,3.338,48406096
2014,,,3.32,41943904
2015,,,3.67,33309350
2016,,,3.674,31242310
2017,,,4.083,29802216
2018,,,3.647,31665754
2019,,,3.61,28569828
1990,,,2.557,29506320
1991,,,2.988,28791316
1992,,,3.32,29640750
1993,,,3.651,30623566
1994,,,3.82,32077060
1995,,,4.123,34286420
1996,,,4.501,39108580
1997,,,4.869,30459078
1998,,,5.248,35449750
1999,,,2.577,31856400
2000,,,6.865,30632888
2001,,,7.813,32975696
2002,,,8.952,32773342
2003,,,10.394,33555216
2004,,,10.959,34348428
2005,,,10.288,34682944
2006,,,14.049,34727332
2007,,,16.59,34607040
2008,,,16.966,34575816
2009,,,18.842,37737892
2010,,,21.61,2022527.9
2011,,,20.145,1996880
2012,,,19.12,1868640
2013,,,19.481,1744064
2014,,,20.596,1769712
2015,,,22.778,1839328
2016,,,27.779,1813680
2017,,,29.458,1608496
2018,,,32.679,1989552
2019,,,29.301,2033520
1990,,,2.729,2026192
1991,,,2.391,1945584
1992,,,1.868,2037184
1993,,,2.17,2070159.9
1994,,,2.091,2048176
1995,,,2.145,1905280
1996,,,2.213,1853984
1997,,,2.207,1872304
1998,,,2.207,1916272
1999,,,2.207,1949248
2000,,,2.412,1901616
2001,,,2.447,2114128
2002,,,2.575,2311984
2003,,,2.569,2704032
2004,,,2.66,2429232
2005,,,2.801,2136112
2006,,,3.164,1978560
2007,,,3.675,2095808
2008,,,3.515,2700368
2009,,,2.766,2535488
2010,,,3.257,12405777
2011,,,2.105,11856551
2012,,,2.276,10873574
2013,,,2.287,14608586
2014,,,2.961,14754455
2015,,,2.49,14786477
2016,,,3.17,15589977
2017,,,3.126,17288858
2018,,,3.234,18366356
2019,,,3.232,17988736
1990,,,3.73,18794084
1991,,,3.798,14077837
1992,,,3.858,15868013
1993,,,3.873,16769491
1994,,,4.14,17883504
1995,,,4.421,19804052
1996,,,4.847,19421150
1997,,,4.884,26771124
1998,,,4.776,29681318
1999,,,4.825,28098070
2000,,,4.973,29075436
2001,,,5.49,28467646
2002,,,6.073,27118986
2003,,,6.764,31157652
2004,,,6.51,30899726
2005,,,7.376,32459648
2006,,,11.948,31559510
2007,,,14.93,32835194
2008,,,15.43,32787140
2009,,,16.001,37813684
2010,,,17.134,14081596
2011,,,16.672,14741983
2012,,,16.199,15379904
2013,,,17.944,16062897
2014,,,17.18,17538016
2015,,,17.992,21041714
2016,,,18.515,21492816
2017,,,18.396,23125868
2018,,,17.636,23197800
2019,,,22.388,25074988
1990,,,27.038,26524610
1991,,,26.605,31034908
1992,,,28.728,31981244
1993,,,28.343,33459294
1994,,,31.658,35945412
1995,,,36.279,37676584
1996,,,35.537,41689170
1997,,,39.856,42642130
1998,,,36.969,45300870
1999,,,41.528,49148070
2000,,,43.588,53991556
2001,,,37.301,56556344
2002,,,40.686,60707810
2003,,,54.696,61798980
2004,,,56.726,66009004
2005,,,55.573,73157550
2006,,,61.17,76193544
2007,,,65.725,80731150
2008,,,67.461,82493720
2009,,,66.488,91657420
2010,,,67.463,1070082
2011,,,69.828,1201999
2012,,,82.769,973443
2013,,,83.881,1100542
2014,,,84.609,738502
2015,,,88.928,806635
2016,,,92.096,822512
2017,,,90.779,888236
2018,,,93.705,1099459
2019,,,91.418,1162451
1992,,,43.597,1151592
1993,,,31.492,1186226
1994,,,33.129,1199568
1995,,,54.931,1245266
1996,,,34.169,1269520
1997,,,48.741,1319152
1998,,,57.563,1342800
1999,,,58.392,1362784
2000,,,64.674,1612264
2001,,,64.34,1597148
2002,,,64.667,1464008
2003,,,56.421,1516527
2004,,,58.27,1459119
2005,,,53.846,1437240
2006,,,55.036,1301672
2007,,,52.572,1305336
2008,,,59.439,1323656
2009,,,71.468,1206408
2010,,,76.505,1286847
2011,,,74.126,1177096
2012,,,72.109,108345060
2013,,,73.222,104071656
2014,,,70.884,93482970
2015,,,70.99,80561816
2016,,,72.588,67879400
2017,,,72.034,60905644
2018,,,73.247,61734784
2019,,,69.547,61588412
1990,,,8.951,60073450
1991,,,9.369,57965508
1992,,,11.365,54905984
1993,,,11.028,54002980
1994,,,10.978,53844144
1995,,,11.11,55087984
1996,,,10.526,58253532
1997,,,10.849,59310284
1998,,,11.631,61743588
1999,,,11.004,60218140
2000,,,14.349,62836410
2001,,,15.084,60577744
2002,,,15.829,62445120
2003,,,16.18,61307590
2004,,,15.935,62545264
2005,,,16.937,64125556
2006,,,18.093,63648870
2007,,,18.578,58798910
2008,,,19.326,58134484
2009,,,18.072,59262284
2010,,,18.618,62094330
2011,,,19.529,62039492
2012,,,19.301,120292640
2013,,,19.16,123362370
2014,,,19.244,122488060
2015,,,23.448,121422696
2016,,,25.816,124795260
2017,,,23.731,125933060
2018,,,23.175,129474980
2019,,,23.019,123983500
1990,5505.048,4631.481,1527.641,130212380
1991,5575.811,4772.693,1586.803,124704140
1992,5836.499,4814.684,1660.528,126719540
1993,5996.683,4952.548,1734.806,126063800
1994,6274.367,5045.925,1822.346,126860504
1995,6468.988,5233.097,1913.47,128245630
1996,6762.679,5405.408,2020.354,128778890
1997,7107.435,5564.265,2135.773,125636390
1998,7250.402,5694.526,2214.098,123880440
1999,7319.987,5668.982,2253.408,120477010
2000,7298.461,5742.981,2293.647,120175600
2001,7430.451,5143.914,2240.901,107732350
2002,7327.317,5403.301,2297.58,114557864
2003,7192.749,5622.271,2340.398,105020120
2004,7488.627,5787.979,2452.482,102355640
2005,7533.905,5972.317,2522.927,102666430
2006,7606.241,6098.023,2587.648,96887000
2007,7831.495,6564.715,2746.501,101061720
2008,8216.386,6636.876,2861.812,99601624
2009,7675.25,6952.404,2845.335,99126280
2010,8702.571,7259.792,3134.266,99873630
2011,9064.792,7469.292,3276.812,99432616
2012,9462.931,7235.403,3339.294,311440
2013,10103.418,7022.811,3454.733,406704
2014,10430.514,6948.854,3536,355408
2015,9782.94,7000.048,3443.672,377392
2016,8993.517,7284.053,3367.171,373728
2017,9066.894,7258.525,3403.931,377392
2018,8578.165,7682.199,3417.385,307776
2019,8485.141,7982.746,3487.616,388384
1990,,,0.194,370064
1991,,,0.194,348080
1992,,,0.194,395712
1993,,,0.194,447008
1994,,,0.194,432352
1995,,,0.194,432352
1996,,,0.25,392048
1997,,,0.25,421360
1998,,,0.25,443344
1999,,,0.25,476320
2000,,,0.437,436016
2001,,,0.448,516623.97
2002,,,0.474,538608
2003,,,0.506,553264
2004,,,0.532,450672
2005,,,0.547,439680
2006,,,0.596,468992
2007,,,0.618,641200
2008,,,0.664,622880
2009,,,0.696,615552
2010,,,0.717,604560
2011,,,0.735,707152
2012,,,0.732,579346
2013,,,0.732,619650
2014,,,0.744,670946
2015,,,0.747,807422
2016,,,0.757,911527
2017,,,0.711,956267
2018,,,0.883,1183806
2019,,,0.705,1223975
1990,,,20.552,1113856
1991,,,16.425,1461936
1992,,,16.061,1472928
1993,,,15.265,1689104
1994,,,14.671,2110055
1995,,,18.146,2393998
1996,,,16.899,2593600
1997,,,18.073,2489730
1998,,,16.346,3351106
1999,,,19.286,3930960
2000,,,19.664,3918994
2001,,,22.357,4224517
2002,,,26.107,4679390
2003,,,27.009,4479719
2004,,,29.992,4402539
2005,,,33.787,4565975
2006,,,52.07,4796000
2007,,,54.662,5328876
2008,,,56.141,6494014
2009,,,37.245,6804151
2010,,,42.423,7434497
2011,,,43.577,7144053
2012,,,42.361,501968.03
2013,,,39.397,538608
2014,,,44.308,461664
2015,,,48.963,538608
2016,,,51.142,531280
2017,,,51.35,531280
2018,,,53.408,527616
2019,,,52.705,523952
1990,31623.91,5379.399,324.437,520288
1991,24954.959,5116.894,262.276,512960.03
1992,23920.781,4485.094,246.238,516623.97
1993,25174.049,5270.958,262.178,527616
1994,23930.596,5597.979,252.424,556928
1995,25460.016,6584.52,271.66,560592
1996,25071.711,7134.468,270.576,582576
1997,23797.592,7033.6,256.484,582576
1998,22949.791,6934.963,246.099,652192
1999,19845.814,6494.869,215.001,729136
2000,19508.203,7345.841,217.456,648528
2001,20472.477,7495.41,224.718,476320
2002,19609.322,7905.368,219.424,608224
2003,21561.646,7183.081,227.593,443344
2004,20944.561,7072.72,220.365,366400
2005,22368.205,8148.989,238.499,534944
2006,22885.752,8413.576,243.072,670512
2007,24262.945,6217.281,235.278,538608
2008,23533.738,6624.2,231.48,619216
2009,19809.924,6715.447,202.576,630208
2010,20316.4,7467.375,211.127,703488
2011,22545.248,7167.571,224.323,582576
2012,20818.805,7500.816,213.044,128240.01
2013,18849.76,7534.794,197.337,175451
2014,20093.494,8323.435,210.754,204711
2015,21744.293,8685.442,224.086,172098
2016,20789.48,8243.604,212.233,201584
2017,22106.588,7828.33,216.899,236263
2018,20953.982,9359.708,217.624,283672
2019,20601.924,8901.796,210.126,375423
1990,,,2.039,368354
1991,,,2.359,371951
1992,,,2.386,382875
1993,,,2.647,369013
1994,,,2.952,401008
1995,,,3.018,360428
1996,,,3.211,290832
1997,,,5.068,378475
1998,,,4.553,374387
1999,,,4.688,373389
2000,,,4.259,401482
2001,,,4.733,369152
2002,,,4.958,464723
2003,,,5.487,667430
2004,,,4.942,772722
2005,,,5.248,852780
2006,,,5.175,948481
